imdbid,primaryTitle,year,rating,decade,variable,value,genre,pass,notpass
tt0112864,Die Hard: With a Vengeance,1995,1,1990,Action,1,Action,0,1
tt0112922,The Day of the Beast,1995,3,1990,Action,1,Action,1,0
tt0113071,First Knight,1995,2,1990,Romance,1,Romance,0,1
tt0113189,GoldenEye,1995,3,1990,Thriller,1,Thriller,1,0
tt0113326,Rumble in the Bronx,1995,1,1990,Crime,1,Crime,0,1
tt0113492,Judge Dredd,1995,3,1990,Sci-Fi,1,Sci-Fi,1,0
tt0113568,Ghost in the Shell,1995,0,1990,Action,1,Action,0,1
tt0113820,Mighty Morphin Power Rangers: The Movie,1995,3,1990,Action,1,Action,1,0
tt0113855,Mortal Kombat,1995,1,1990,Fantasy,1,Fantasy,0,1
tt0113957,The Net,1995,3,1990,Drama,1,Drama,1,0
tt0113972,Nick of Time,1995,3,1990,Action,1,Action,1,0
tt0114069,Outbreak,1995,3,1990,Thriller,1,Thriller,1,0
tt0114214,The Quick and the Dead,1995,3,1990,Thriller,1,Thriller,1,0
tt0114508,Species,1995,3,1990,Horror,1,Horror,1,0
tt0114558,Strange Days,1995,3,1990,Crime,1,Crime,1,0
tt0114614,Tank Girl,1995,3,1990,Action,1,Action,1,0
tt0114898,Waterworld,1995,2,1990,Action,1,Action,0,1
tt0115485,A Jin de gu shi,1996,1,1990,Action,1,Action,0,1
tt0115759,Broken Arrow,1996,0,1990,Adventure,1,Adventure,0,1
tt0115857,Chain Reaction,1996,1,1990,Drama,1,Drama,0,1
tt0116136,DragonHeart,1996,2,1990,Adventure,1,Adventure,0,1
tt0116213,Eraser,1996,3,1990,Mystery,1,Mystery,1,0
tt0116225,Escape from L.A.,1996,1,1990,Action,1,Action,0,1
tt0116277,The Fan,1996,1,1990,Drama,1,Drama,0,1
tt0116367,From Dusk Till Dawn,1996,1,1990,Horror,1,Horror,0,1
tt0116421,The Glimmer Man,1996,1,1990,Crime,1,Crime,0,1
tt0116426,The God of Cookery,1996,1,1990,Action,1,Action,0,1
tt0116629,Independence Day,1996,3,1990,Adventure,1,Adventure,1,0
tt0116830,Last Man Standing,1996,1,1990,Drama,1,Drama,0,1
tt0116908,The Long Kiss Goodnight,1996,3,1990,Drama,1,Drama,1,0
tt0117060,Mission: Impossible,1996,1,1990,Action,1,Action,0,1
tt0117110,Muppet Treasure Island,1996,1,1990,Action,1,Action,0,1
tt0117420,The Quest,1996,0,1990,Thriller,1,Thriller,0,1
tt0117500,The Rock,1996,1,1990,Action,1,Action,0,1
tt0117603,Set It Off,1996,3,1990,Action,1,Action,1,0
tt0117723,Spy Hard,1996,1,1990,Comedy,1,Comedy,0,1
tt0117731,Star Trek: First Contact,1996,3,1990,Action,1,Action,1,0
tt0118571,Air Force One,1997,1,1990,Drama,1,Drama,0,1
tt0118583,Alien: Resurrection,1997,3,1990,Sci-Fi,1,Sci-Fi,1,0
tt0118661,The Avengers,1998,3,1990,Adventure,1,Adventure,1,0
tt0118688,Batman & Robin,1997,2,1990,Action,1,Action,0,1
tt0118880,Con Air,1997,2,1990,Thriller,1,Thriller,0,1
tt0118883,Conspiracy Theory,1997,2,1990,Thriller,1,Thriller,0,1
tt0118928,Dante's Peak,1997,3,1990,Action,1,Action,1,0
tt0119094,Face/Off,1997,1,1990,Crime,1,Crime,0,1
tt0119116,The Fifth Element,1997,1,1990,Sci-Fi,1,Sci-Fi,0,1
tt0119173,G.I. Jane,1997,3,1990,Drama,1,Drama,1,0
tt0119190,George of the Jungle,1997,3,1990,Adventure,1,Adventure,1,0
tt0119229,Grosse Pointe Blank,1997,3,1990,Crime,1,Crime,1,0
tt0119472,Knockin' on Heaven's Door,1997,1,1990,Comedy,1,Comedy,0,1
tt0119567,The Lost World: Jurassic Park,1997,3,1990,Action,1,Action,1,0
tt0119707,Mortal Kombat: Annihilation,1997,3,1990,Adventure,1,Adventure,1,0
tt0119731,Murder at 1600,1997,1,1990,Action,1,Action,0,1
tt0119874,The Peacemaker,1997,3,1990,Action,1,Action,1,0
tt0119925,The Postman,1997,1,1990,Adventure,1,Adventure,0,1
tt0120152,Smilla's Sense of Snow,1997,3,1990,Mystery,1,Mystery,1,0
tt0120177,Spawn,1997,3,1990,Action,1,Action,1,0
tt0120201,Starship Troopers,1997,3,1990,Action,1,Action,1,0
tt0120389,Turbo: A Power Rangers Movie,1997,3,1990,Adventure,1,Adventure,1,0
tt0120458,Virus,1999,3,1990,Action,1,Action,1,0
tt0120461,Volcano,1997,3,1990,Sci-Fi,1,Sci-Fi,1,0
tt0120512,Wild America,1997,2,1990,Adventure,1,Adventure,0,1
tt0120591,Armageddon,1998,1,1990,Action,1,Action,0,1
tt0120611,Blade,1998,1,1990,Horror,1,Horror,0,1
tt0120616,The Mummy,1999,1,1990,Fantasy,1,Fantasy,0,1
tt0120647,Deep Impact,1998,3,1990,Romance,1,Romance,1,0
tt0120657,The 13th Warrior,1999,1,1990,Adventure,1,Adventure,0,1
tt0120660,Enemy of the State,1998,1,1990,Action,1,Action,0,1
tt0120667,Fantastic Four,2005,1,2000,Fantasy,1,Fantasy,0,1
tt0120685,Godzilla,1998,3,1990,Action,1,Action,1,0
tt0120738,Lost in Space,1998,3,1990,Action,1,Action,1,0
tt0120744,The Man in the Iron Mask,1998,1,1990,Drama,1,Drama,0,1
tt0120746,The Mask of Zorro,1998,1,1990,Action,1,Action,0,1
tt0120749,Mercury Rising,1998,1,1990,Crime,1,Crime,0,1
tt0120755,Mission: Impossible II,2000,0,2000,Thriller,1,Thriller,0,1
tt0120768,The Negotiator,1998,1,1990,Action,1,Action,0,1
tt0120784,Payback,1999,1,1990,Action,1,Action,0,1
tt0120804,Resident Evil,2002,3,2000,Horror,1,Horror,1,0
tt0120812,Rush Hour,1998,3,1990,Comedy,1,Comedy,1,0
tt0120828,Six Days Seven Nights,1998,1,1990,Adventure,1,Adventure,0,1
tt0120841,Species II,1998,3,1990,Horror,1,Horror,1,0
